Region,Office Name,State/Territory,Station ID
"Southern Region","Miami","Florida","MFL"
"Southern Region","Tallahassee","Florida","TAE"
"Southern Region","Tampa","Florida","TBW"
"Southern Region","Peachtree City/Atlanta","Georgia","FFC"
"Southern Region","Lake Charles","Louisiana","LCH"
"Southern Region","New Orleans/Baton Rouge","Louisiana","LIX"
"Southern Region","Shreveport","Louisiana","SHV"
"Southern Region","Jackson","Mississippi","JAN"
"Southern Region","Albuquerque","New Mexico","ABQ"
"Southern Region","Norman/Oklahoma City","Oklahoma","OUN"
"Southern Region","Tulsa","Oklahoma","TSA"
"Southern Region","San Juan","Puerto Rico","SJU"
"Southern Region","Memphis","Tennessee","MEG"
"Southern Region","Morristown/Knoxville","Tennessee","MRX"
"Southern Region","Nashville","Tennessee","OHX"
"Southern Region","Amarillo","Texas","AMA"
"Southern Region","Austin/San Antonio","Texas","EWX"
"Southern Region","Brownsville","Texas","BRO"
"Southern Region","Corpus Christi","Texas","CRP"
"Southern Region","Fort Worth-Dallas","Texas","FWD"
"Southern Region","El Paso","Texas","EPZ"
"Southern Region","Houston/Galveston","Texas","HGX"
"Southern Region","Lubbock","Texas","LUB"
"Southern Region","Midland/Odessa","Texas","MAF"
"Southern Region","San Angelo","Texas","SJT"
"Western Region","Flagstaff","Arizona","FGZ"
"Western Region","Phoenix","Arizona","PSR"
"Western Region","Tucson","Arizona","TWC"
"Western Region","Eureka","California","EKA"
"Western Region","Los Angeles/Oxnard","California","LOX"
"Western Region","Sacramento","California","STO"
"Western Region","San Diego","California","SGX"
"Western Region","San Francisco Bay Area/Monterey","California","MTR"
"Western Region","San Joaquin Valley/Hanford","California","HNX"
"Western Region","Boise","Idaho","BOI"
"Western Region","Pocatello","Idaho","PIH"
"Western Region","Billings","Montana","BYZ"
"Western Region","Glasgow","Montana","GGW"
"Western Region","Great Falls","Montana","TFX"
"Western Region","Missoula","Montana","MSO"
"Western Region","Elko","Nevada","LKN"
"Western Region","Las Vegas","Nevada","VEF"
"Western Region","Reno","Nevada","REV"
"Western Region","Medford","Oregon","MFR"
"Western Region","Pendleton","Oregon","PDT"
"Western Region","Portland","Oregon","PQR"
"Western Region","Salt Lake City","Utah","SLC"
"Western Region","Seattle","Washington","SEW"
"Western Region","Spokane","Washington","OTX"
